route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
,3,,,ST,100235,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/540-Weekday.xml,Kirkland U District,540
,3,,,ST,100232,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/522-Weekday.xml,ST 522 Woodinville-Seattle CBD,522
,3,,,KCM,100233,http://metro.kingcounty.gov/tops/bus/schedules/s053_0_.html,W Seattle/Alki Shuttle,53
,3,,,KCM,100021,http://metro.kingcounty.gov/tops/bus/schedules/s122_0_.html,Des moines express,122
,3,,,KCM,100020,http://metro.kingcounty.gov/tops/bus/schedules/s121_0_.html,Normandy Park express,121
,3,,,KCM,100290,http://metro.kingcounty.gov/tops/bus/schedules/s901_0_.html,Federal Way/Dash Point DART,901
,3,,,KCM,100292,http://metro.kingcounty.gov/tops/bus/schedules/s903_0_.html,Federal Way - S Twin Lakes,903
,3,,,KCM,100293,http://metro.kingcounty.gov/tops/bus/schedules/s908_0_.html,Renton Highlands DART,908
,3,,,KCM,100294,http://metro.kingcounty.gov/tops/bus/schedules/s909_0_.html,Highlands/Kennydale DART,909
,3,,,KCM,100295,http://metro.kingcounty.gov/tops/bus/schedules/s912_0_.html,Enumclaw/Lake Sawyers/Covington,912
,3,,,KCM,100296,http://metro.kingcounty.gov/tops/bus/schedules/s913_0_.html,Kent - Riverview,913
,3,,,KCM,100297,http://metro.kingcounty.gov/tops/bus/schedules/s914_0_.html,Kent Shopper Shuttle (DART),914
,3,,,KCM,100250,http://metro.kingcounty.gov/tops/bus/schedules/s600_0_.html,Group Health Coop - CBD,600
,3,,,KCM,100495,http://metro.kingcounty.gov/tops/bus/schedules/s193_0_.html,Star Lk. to First Hill,193
,3,,,ST,100517,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/578-Weekday.xml,Sounder PM Sweeper,578
,3,,,KCM,100259,http://metro.kingcounty.gov/tops/bus/schedules/s067_0_.html,Northgate to UW Campus thru Roosevelt,67
,3,,,KCM,100513,http://metro.kingcounty.gov/tops/bus/schedules/s910_0_.html,Supermall - North Auburn,910
,3,,,KCM,100159,http://metro.kingcounty.gov/tops/bus/schedules/s268_0_.html,Seattle/Bear Creek,268
,3,,,ST,100511,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/542-Weekday.xml,Redmond U District,542
,3,,,KCM,100106,http://metro.kingcounty.gov/tops/bus/schedules/s214_0_.html,Seattle - Issaquah 908,214
,3,,,ST,100521,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/593-Weekday.xml,PT Route 593,593
,3,,,ST,100519,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/590-Weekday.xml,Route 590 Tacoma Seattle Express,590
,3,,,ST,100522,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/594-Weekday.xml,PT Route 594,594
,3,,,KCM,100342,http://metro.kingcounty.gov/tops/bus/schedules/s983_0_.html,Issaquah Lakeside,983
,3,,,KCM,100218,http://metro.kingcounty.gov/tops/bus/schedules/s039_0_.html,Seward Pk- Rainier Beach,39
,0,,,EOS,100340,http://www.seattlestreetcar.org/about,South Lake Union Streetcar,98
,3,,,KCM,100341,http://metro.kingcounty.gov/tops/bus/schedules/s982_0_.html,Lakeside\UPrep Bear Creek PR,982
,3,,,KCM,100346,http://metro.kingcounty.gov/tops/bus/schedules/s988_0_.html,Lakeside School Custom Bus,988
,3,,,KCM,100109,http://metro.kingcounty.gov/tops/bus/schedules/s217_0_.html,Issaquah/CBD,217
,3,,,KCM,100344,http://metro.kingcounty.gov/tops/bus/schedules/s986_0_.html,Lakeside School,986
,3,,,KCM,100219,http://metro.kingcounty.gov/tops/bus/schedules/s004_0_.html,Route 4,4
,3,,,KCM,100104,http://metro.kingcounty.gov/tops/bus/schedules/s212_0_.html,Eastgate P & R Express (Tunnel),212
,3,,,KCM,100105,http://metro.kingcounty.gov/tops/bus/schedules/s213_0_.html,Covenant Shores Van Shuttle,213
,3,,,KCM,100348,http://metro.kingcounty.gov/tops/bus/schedules/s099_0_.html,Waterfront,99
,3,,,KCM,100107,http://metro.kingcounty.gov/tops/bus/schedules/s215_0_.html,N Bend  Seattle,215
,3,,,KCM,100100,http://metro.kingcounty.gov/tops/bus/schedules/s209_0_.html,Issaquah/North Bend Shuttle,209
