stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
47.5509262,,-122.277641,8840,,,,RAINIER AVE S & S ORCAS ST,0,21
47.517292,,-122.361351,21270,,,,SW ROXBURY ST & 22ND AVE SW,0,5
47.6192894,,-122.186867,67595,,,,NE 10TH ST & 116TH AVE NE,0,19
47.452816,,-122.212471,59951,,,,TALBOT RD S & S 32ND ST,0,24
47.4664154,,-122.207268,59950,,,,S PUGET DR & TALBOT RD S,0,24
47.4523506,,-122.180206,59480,,,,SE 168TH ST & 120TH AVE SE,0,24
47.6576118,,-122.088203,72328,,,,188TH AVE NE & REDMOND FALL CITY RD,0,19
47.6906967,,-122.372734,37076,,,,NW 85TH ST & 13TH AVE NW,0,21
47.4952164,,-122.175766,40080,,,,NE 7TH ST & MONROE AVE NE,0,24
47.494915,,-122.176804,40085,,,,NE 7TH ST & KIRKLAND AVE NE,0,24
47.5832062,,-122.386368,37160,,,,CALIFORNIA AVE SW & SW COLLEGE ST,0,21
47.5521317,,-122.398109,33020,,,,BEACH DR SW & SW SHORE PL,0,21
47.5936966,,-122.148323,68614,,,,145TH PL SE & 144TH AVE SE,0,19
47.690712,,-122.369659,37071,,,,NW 85TH ST & 10TH AVE NW,0,21
47.6239128,,-122.119766,68340,,,,NORTHUP WAY & 165TH AVE NE,0,19
47.5889626,,-122.144073,68613,,,,SE 24TH ST & 145TH PL SE,0,19
47.5893326,,-122.142525,68610,,,,148TH AVE SE & SE 24TH ST,0,19
47.5969887,,-122.150627,68611,,,,145TH PL SE & LK HILLS BLVD,0,19
47.6379585,,-122.343666,18310,,,,DEXTER AVE N & DEXTER WAY N,0,21
47.6181335,,-122.108871,67370,,,,NORTHUP WAY & NE 10TH ST,0,19
47.5568314,,-122.322548,40888,,,,AIRPT WAY S & SPOKANE ST VIADCT,0,21
47.6402626,,-122.392899,24550,,,,28TH AVE W & W MCGRAW ST,0,21
47.6098022,,-122.336174,690,,,,4TH AVE & UNION ST,0,1
47.2891884,,-122.196968,58538,,,,AUBURN WAY S & RIVERWALK DR SE,0,24
47.2886734,,-122.195145,58539,,,,AUBURN WAY S & RIVERWALK DR SE,0,24
47.6038132,,-122.329102,1540,,,,JAMES ST & 5TH AVE,0,1
47.6617012,,-122.366081,28425,,,,8TH AVE NW & NW 45th ST,0,21
47.2903404,,-122.20153,58536,,,,AUBURN WAY S & MUCKLESHOOT CT,0,24
47.2899818,,-122.200691,58537,,,,AUBURN WAY S & MUCKLESHOOT CT,0,24
47.6519356,,-122.352798,28350,,,,N 36TH ST & DAYTON AVE N,0,21
47.5726929,,-122.293953,8710,,,,RAINIER AVE S & S WALDEN ST,0,21
47.5383148,,-122.294975,30330,,,,BEACON AVE S & S MYRTLE ST,0,21
47.6692924,,-122.188278,72134,,,,NE 72ND PL & 116TH AVE NE,0,19
47.6374779,,-122.376297,13840,,,,15TH AVE W & W ARMORY WAY,0,21
47.7477837,,-122.324005,77560,,,,5TH AVE NE & NE 163RD ST,0,18
47.575695,,-122.413452,32860,,,,63RD AVE SW & SW ADMIRAL WAY,0,21
47.4560127,,-122.357689,52460,,,,SW 164TH ST & 19TH AVE SW,0,24
47.5858459,,-122.111504,66970,,,,WEST LK SAMMAMISH PKWY SE & SE 26TH ST,0,19
47.6660881,,-122.15358,72390,,,,NE OLD REDMOND RD & 140TH AVE NE,0,19
47.3662415,,-122.176216,85999,,,,124TH AVE SE & SE 263RD ST,0,24
47.6659546,,-122.151573,72392,,,,NE OLD REDMOND RD & 140TH PL NE,0,19
47.7229614,,-122.355644,5610,,,,GREENWOOD AVE N & N 130TH ST,0,21
47.5267143,,-122.265007,35210,,,,SEWARD PK AVE S & S CLOVERDALE ST,0,21
47.7028389,,-122.323242,23260,,,,5TH AVE NE & NE 103RD ST,0,21
47.619709,,-122.31263,11560,,,,15TH AVE E & E JOHN CT,0,21
47.5292053,,-121.82576,82423,,,,TRANSIT ROAD & SE KING ST,0,40
47.529129,,-121.825691,82426,,,,SR 202 & SE KING ST,0,40
47.5192795,,-122.355247,22246,,,,16TH AVE SW & SW CAMBRIDGE ST,0,21
47.5225945,,-122.355209,22245,,,,16TH AVE SW & SW HENDERSON ST,0,21
47.6945229,,-122.275169,10700,,,,SAND PT WAY NE & MATTHEWS PL NE,0,21
47.6899147,,-122.29081,25040,,,,35TH AVE NE & NE 85TH ST,0,21
47.6416512,,-122.306862,25730,,,,19TH AVE E & E MILLER ST,0,21
47.6929817,,-122.119003,74039,,,,NE 104TH ST & 166TH AVE NE,0,19
47.4828606,,-122.313911,50030,,,,DES MOINES MEMORI DR S & S 134TH ST,0,24
47.6979065,,-122.130928,74033,,,,NE 109TH ST & 156TH CT NE,0,19
47.7015076,,-122.131927,74032,,,,SR 202 & NE 113TH CT,0,19
47.6915779,,-122.118141,74030,,,,166TH AVE NE & NE 102ND PL,0,19
47.6930084,,-122.12368,74037,,,,NE 104TH ST & 163RD AVE NE,0,19
